ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
319036,65,S,3,61,,R15.457,75.21,38.885832,-121.339568,3.507,ML,2,N of Auburn Rvn Brdg,1,,,
319043,50,E,3,67,,12.46,18.13,38.608682,-121.270954,0,ML,3,Off to NB Sunrise,1,,,
319046,50,E,3,67,,12.46,18.13,38.608682,-121.270954,0.823,ML,5,Off to SB Sunrise,1,,,
319067,99,S,3,67,64000,17.502,291.947,38.472569,-121.421128,,OR,1,Off EB Mack Rd,1,,,
319068,99,S,3,67,64000,17.545,291.99,38.473043,-121.421642,,OR,1,Bruiceville Rd,1,,,
319074,99,S,3,67,64000,17.545,291.99,38.473043,-121.421642,0.397,HV,1,Bruiceville Rd,1,,,
319075,99,S,3,67,64000,17.545,291.99,38.473043,-121.421642,0.397,ML,3,Bruiceville Rd,1,,,
319081,50,W,3,67,,R10.836,16.47,38.59031,-121.28869,0.45,HV,1,SB Zinfandel,1,,,
319091,99,N,3,67,28112,0.93,275.4,38.256213,-121.294616,3.3,ML,2,A St,1,,,
319092,99,N,3,67,28112,0.93,275.4,38.256213,-121.294616,,OR,3,A St,1,,,
319093,99,S,3,67,28112,0.93,275.375,38.256121,-121.294844,,OR,1,A St,1,,,
319100,99,S,3,67,28112,0.661,275.106,38.252636,-121.292608,3.006,ML,2,C St,1,,,
319101,99,S,3,67,28112,0.661,275.106,38.252636,-121.292608,,OR,1,C St,1,,,
319102,99,N,3,67,28112,0.661,275.131,38.252741,-121.292418,,OR,1,C St,1,,,
319110,65,N,3,61,,M8.009,67.716,38.794861,-121.296635,0.302,ML,2,Blue Oaks Blvd,1,,,
319111,65,N,3,61,,M8.009,67.716,38.794861,-121.296635,,OR,1,Blue Oaks Blvd,1,,,
319112,65,N,3,61,,M8.009,67.716,38.794861,-121.296635,,OR,1,Blue Oaks Blvd,1,,,
319119,65,S,3,61,,M8.237,67.949,38.797916,-121.298889,0.291,ML,2,WB Blue Oaks Blvd,1,,,
319120,65,S,3,61,,M8.237,67.949,38.797916,-121.298889,,OR,1,WB Blue Oaks Blvd,1,,,
319129,65,S,3,61,,R7.954,67.672,38.794303,-121.296436,0.308,ML,2,EB Blue Oaks Blvd,1,,,
319130,65,S,3,61,,R7.954,67.672,38.794303,-121.296436,,OR,2,EB Blue Oaks Blvd,1,,,
319132,65,S,3,61,,M8.237,67.949,38.797916,-121.298889,,OR,1,WB Blue Oaks Blvd,1,,,
319142,80,W,3,67,,M0.371,84.276,38.603104,-121.544788,0.709,ML,3,Bryte Bend Bridge,1,,,
319161,50,E,3,17,,5.977,34.775,38.65862,-120.980746,3.495,HV,1,W. of Cameron Park,1,,,
319163,50,W,3,17,,34.77,63.157,38.760469,-120.52208,5,HV,1,W. of Cameron Park,1,,,
319165,50,E,3,17,,3.983,32.785,38.655054,-121.016729,1.883,HV,1,E. of Bass Lake Rd,1,,,
319167,50,W,3,17,,3.987,32.793,38.655258,-121.016682,3.388,HV,1,E. of Bass Lake Rd,1,,,
319171,65,N,3,61,,M8.237,67.944,38.797803,-121.298565,0.266,ML,2,Blue Oaks NB Off,1,,,
319181,51,N,3,67,64000,3.411,3.411,38.597649,-121.443024,,OR,1,NB Off to Arden,1,,,
319189,50,E,3,67,,R7.686,13.32,38.565351,-121.337216,0.372,HV,1,SB Bradshaw Rd,1,,,
319193,50,W,3,67,,R10.997,16.631,38.591727,-121.286336,0.829,HV,1,NB Zinfandel Dr,1,,,
319201,50,E,3,67,64000,R2.598,8.232,38.55068,-121.428589,,OR,2,SB 65th St,1,,,
319202,50,E,3,67,64000,R2.598,8.232,38.55068,-121.428589,,OR,2,SB 65th St,1,,,
319212,50,E,3,67,64000,R2.696,8.33,38.55049,-121.4268,0.402,ML,4,NB 65th St,1,,,
319213,50,E,3,67,64000,R2.696,8.33,38.55049,-121.4268,,OR,2,NB 65th St,1,,,
319218,50,E,3,67,64000,R0.615,6.249,38.560761,-121.462558,,OR,2,Stockton Blvd,1,,,
319226,5,S,3,67,,1.92,497.213,38.281311,-121.457488,4.313,ML,2,Twin Cities Rd,1,,,
319227,5,N,3,67,,1.92,497.213,38.281391,-121.457078,4.313,ML,3,Twin Cities Rd,1,,,
319228,5,S,3,67,,1.92,497.213,38.281311,-121.457488,,OR,1,Twin Cities Rd,1,,,
319229,5,S,3,67,,1.92,497.213,38.281311,-121.457488,,OR,1,Twin Cities Rd,1,,,
319239,65,S,3,61,,R13.443,73.196,38.871441,-121.309188,1.737,ML,2,WB Ferrari Ranch,1,,,
319240,65,S,3,61,,R13.443,73.196,38.871441,-121.309188,,OR,2,WB Ferrari Ranch,1,,,
319241,65,S,3,61,,R13.443,73.196,38.871441,-121.309188,,OR,1,WB Ferrari Ranch,1,,,
319250,65,N,3,61,,R13.483,73.245,38.872018,-121.309316,,OR,2,WB Ferrari Ranch,1,,,
319251,65,N,3,61,,R13.483,73.245,38.872018,-121.309316,,OR,2,WB Ferrari Ranch,1,,,
